ID,CAG,WA,SS,OVP,DISC,DISC EXTRA
A01633752,1,1,1,0,1,1
A01745869,1,1,1,1,0,1
A01745138,1,1,1,1,0,1
A01634562,1,1,1,1,0,1
A01655193,1,1,1,1,0,1
A01635128,1,0,1,0,0,1
A01732379,1,0,1,1,0,1
A01026293,1,0,1,0,0,1
A01655801,0,0,1,1,0,1
A01798001,1,1,1,1,0,0
A01747835,1,1,1,1,0,1
A01635806,1,1,1,1,0,1
A01423674,1,0,1,0,0,1
A01656320,1,0,1,1,0,1
A01656434,1,0,1,0,0,1
A01368938,1,0,1,0,0,1
A01636077,1,1,1,1,0,1
A01027616,1,0,1,0,0,1
A01636831,1,1,1,1,0,1
A01656980,1,1,1,1,0,1
A01657247,0,0,1,1,0,1
A01637232,1,1,1,0,1,1
A01705851,1,1,1,0,1,1
A01657813,1,1,1,0,1,1
A01657649,1,0,1,1,0,1
A01658835,1,1,1,0,0,1
A01638315,1,1,1,0,1,1
A01028751,1,1,1,0,1,1
A01770957,1,1,1,0,0,1
A01639710,1,1,1,1,0,1
A01659250,1,0,1,1,0,1
A01639681,1,1,1,1,0,1
A01707820,1,0,1,0,0,1
A01736418,1,1,1,1,0,0
A01640265,1,1,1,1,0,1
A01752815,1,0,1,1,0,1
A01640621,1,1,1,0,1,1
A01661184,1,0,1,0,0,1
A01640861,1,1,1,1,0,1
A01753739,1,0,1,1,0,1
A01754410,1,1,1,1,0,0
A01661709,1,0,1,1,0,1
A01782752,1,1,1,1,0,1
A01661954,1,1,1,1,0,1
A01662561,1,0,1,1,0,1
A01754922,1,1,1,1,0,1
A01625626,1,1,1,1,0,1
A01798083,1,1,1,1,0,0
A01642402,1,1,1,1,0,1
A01798131,0,0,1,1,0,1
A01663707,1,1,1,0,1,1
A01625355,1,1,1,1,0,1
A01368369,0,0,1,1,0,1
A01633006,0,0,1,0,0,1
A01702531,1,1,1,0,0,1
A01379804,1,1,1,1,0,1
A01566793,0,1,1,1,0,1
A01423227,1,1,1,1,0,1
A01620507,0,0,1,0,0,1
A01745576,1,1,1,1,0,1
A01659770,0,0,1,1,0,1
A01746314,1,1,1,1,0,1
A01752769,0,0,1,1,0,1
A01655175,0,0,1,1,0,1
A01655429,1,1,1,1,0,1
A01655324,1,1,1,0,0,1
A01540824,1,1,1,1,0,1
A01732317,0,0,1,0,0,1
A01026157,1,1,1,1,0,1
A01747025,1,1,1,0,1,1
A01635772,1,0,1,1,0,1
A01635747,1,1,1,1,0,1
A01747522,1,1,1,1,0,1
A01747557,1,1,1,1,0,1
A01704852,1,0,1,1,0,1
A01747990,1,1,1,1,0,1
A01748085,0,0,1,1,0,1
A01636315,0,0,1,0,0,1
A01748549,1,1,1,1,0,1
A01027041,1,0,1,0,0,1
A01748520,0,0,1,1,0,1
A01636923,1,1,1,0,1,1
A01748728,1,1,1,0,1,1
A01636828,1,1,1,1,0,1
A01770361,1,0,1,1,0,1
A01753229,1,1,1,1,0,1
A01657142,1,0,1,0,0,1
A01749319,1,1,1,0,1,1
A01637092,1,1,1,0,1,1
A01369518,1,1,1,0,1,1
A01028699,1,1,1,1,0,1
A01541338,1,1,1,0,0,1
A01659029,1,0,0,1,1,1
A01639665,1,1,1,1,0,1
A01029922,0,0,1,1,0,1
A01639970,1,0,1,0,0,1
A01625442,1,1,1,1,0,1
A01640331,1,0,1,1,0,1
A01735551,1,0,1,1,0,1
A01781712,1,1,1,1,0,1
A01641048,1,1,1,1,0,1
A01798175,1,1,1,1,0,1
A01754194,1,1,1,1,0,1
A01641148,0,0,1,0,0,1
A01782872,1,1,1,1,0,0
A01642023,1,0,1,0,0,1
A01643194,1,1,1,0,1,1
A01664607,1,1,1,0,0,1
A01643725,1,1,1,0,1,1
A01720743,0,0,1,1,0,1
A01177763,1,0,1,0,0,1
A01281135,1,0,1,1,0,1
A01740604,1,0,1,1,0,1
