MATRICULA,REQUISITO,WA,SS,OVP,DISC,DISC EXTRA
A01733032,1,1,1,1,0,1
A01771288,1,1,1,1,0,0
A01369142,1,1,1,1,0,1
A01254252,1,1,1,1,0,1
A01735833,1,1,1,1,0,1
A00573139,1,1,1,1,0,1
A01735896,1,1,1,1,0,1
A00573593,1,1,1,1,0,1
A01412663,1,1,1,1,0,1
A01254038,1,1,1,1,0,1
A01277279,1,1,1,1,0,1
A01708720,1,1,1,1,0,1
A01708612,1,1,1,1,0,0
A01709438,1,1,1,1,0,1
A01781284,1,1,1,1,0,1
A01254028,1,1,1,1,0,1
A01730312,1,1,1,1,0,1
A01740831,1,1,1,1,0,1
A01384764,1,1,1,1,0,1
A01703366,1,1,1,1,0,1
A01552350,1,1,1,1,0,1
A01703487,1,1,1,1,0,1
A01703905,1,1,1,1,0,1
A01705363,1,1,1,1,0,1
A01276883,1,0,1,1,0,1
A01704095,1,1,1,1,0,1
A01704112,1,1,1,1,0,1
A01771182,1,1,1,1,0,0
A01174156,1,1,1,1,0,1
A01732607,1,1,1,1,0,0
A01274679,1,1,1,1,0,1
A01351913,1,1,1,1,0,1
A01611735,1,1,1,1,0,1
A01234483,1,1,1,1,0,1
A01424150,1,1,1,1,0,1
A00572249,1,1,1,1,0,1
A01742301,1,1,1,1,0,1
A01423685,1,1,1,1,0,1
A01704482,1,1,1,1,0,0
A01383483,1,1,1,1,0,1
A01708299,1,1,1,1,0,1
A01253999,1,1,1,1,0,1
A01625321,1,1,1,1,0,1
A01707360,1,1,1,1,0,1
A00573252,1,1,1,1,0,1
A00573507,1,1,1,1,0,1
A01736554,1,1,1,1,0,1
A01613506,1,1,1,1,0,1
A01709663,1,1,1,1,0,1
A01708705,1,1,1,1,0,1
A01613462,0,1,1,1,0,0
A07192093,1,1,1,1,0,1
A01736337,1,1,1,1,0,1
A01613518,1,1,1,1,0,1
A01551942,1,1,1,1,0,1
A00573725,1,1,1,1,0,1
A01701746,1,1,1,1,0,1
A01704272,1,1,1,1,0,1
A01709613,1,1,1,1,0,1
A01611844,1,1,1,1,0,1
A01740670,1,1,1,1,0,1
A01701858,1,1,1,1,0,1
A01703867,1,1,1,1,0,1
A01704978,1,1,1,1,0,1
A01252532,1,1,1,1,0,1
A01382910,1,1,1,1,0,1
A01703125,1,1,1,1,0,1
A01369091,1,1,1,1,0,1
A01732583,1,1,1,1,0,1
A01252499,1,1,1,1,0,1
A01368950,1,1,1,1,0,1
A01368898,1,1,1,1,0,1
A01721855,1,1,1,1,0,1
A01733441,1,0,1,1,0,1
A00572472,1,1,1,1,0,1
A01704840,1,1,1,1,0,1
A01367455,1,1,1,1,0,1
A01369075,1,1,1,1,0,1
A01611789,1,1,1,1,0,1
A01275605,1,1,1,1,0,1
A01067433,1,1,1,1,0,1
A01383533,1,1,1,1,0,1
A01235602,1,1,1,1,0,1
A01254008,1,1,1,1,0,1
A01625526,1,1,1,1,0,1
A01562270,0,1,1,1,0,1
A01236081,1,0,1,1,0,1
A01771174,1,1,1,1,0,1
A01736622,1,1,1,1,0,1
A01742315,1,1,1,1,0,1
A01709009,1,1,1,1,0,1
A01253878,1,1,1,1,0,1
A01254173,1,1,1,1,0,1
A01709431,1,1,1,1,0,1
A01702431,1,1,1,1,0,1
A00517194,1,0,1,1,0,1
A01702918,1,0,1,1,0,1
A01024737,1,1,1,1,0,1
A01540502,1,1,1,1,0,1
A01741061,1,1,1,1,0,1
A01384604,1,1,1,1,0,1
A01733538,1,1,1,1,0,1
A01254233,1,1,1,1,0,1
A01611986,1,1,1,1,0,1
A01541101,1,1,1,1,0,1
A01740953,1,1,1,1,0,0
A01252195,1,1,1,1,0,1
A00572207,1,1,1,1,0,1
A01747206,1,1,1,1,0,1
A01275756,1,1,1,1,0,1
A01733678,1,1,1,1,0,1
A01275999,1,1,1,1,0,0
A01771195,1,1,1,1,0,1
A01707814,1,1,1,1,0,1
A01236094,1,1,1,1,0,1
A01625535,1,1,1,1,0,1
A01708874,1,1,1,1,0,1
A01708753,1,1,1,1,0,1
A01736653,1,1,1,1,0,1
A01736254,1,1,1,1,0,1
A01709436,1,1,1,1,0,1
A01236286,1,1,1,1,0,1
A01709345,1,1,1,1,0,1
A01771289,1,1,1,1,0,1
A01709399,1,1,1,1,0,1
A00573594,1,1,1,1,0,1
A00834289,1,1,1,1,0,1
A01275648,1,1,1,1,0,1
A01234391,1,1,1,1,0,1
A01613033,1,1,1,1,0,1
A01383627,1,1,1,0,0,1
