ID,CAG AD25 (POR CREDITOS),SERVICIO SOCIAL,DISCIPLINAR ACREDITADA,DISCIPLINARES Extra,ORIENTACION,WA,Requisito
A00832166,1,1,0,1,1,0,1
A01177225,0,1,0,1,1,1,1
A01566908,1,1,0,1,1,0,1
A01246337,1,1,0,1,1,0,1
A01571023,1,1,0,1,1,0,1
A01752237,1,1,0,1,1,0,1
A00831863,0,1,0,1,1,0,1
A00830361,0,1,0,1,1,0,1
A00832390,1,1,0,1,1,0,1
A00835057,1,1,0,1,0,0,1
A01025026,1,1,0,1,0,0,1
A01284085,1,1,0,1,1,0,1
A00832350,0,1,0,1,1,0,1
A01245430,0,1,0,1,1,0,1
A01721870,1,1,0,1,1,1,1
A00832353,1,1,0,1,1,0,1
A01236163,1,1,0,1,1,0,1
A01771087,1,1,1,1,0,0,1
A00834547,1,1,0,1,1,0,1
A01283640,1,1,0,1,0,0,1
A01702665,1,1,0,1,0,0,1
A01721740,1,1,0,1,0,1,1
A01721487,1,1,0,1,1,0,1
A01025654,1,1,0,1,1,0,1
A01368259,1,1,0,1,1,1,1
A01620804,0,1,0,1,1,0,1
A01284979,0,1,0,1,1,0,1
A01198139,0,1,0,1,1,0,1
A01571024,1,1,0,1,1,1,1
A00829720,0,1,0,1,1,0,1
A00829589,1,1,0,1,1,0,1
A01734957,1,1,0,1,1,0,1
A00830843,1,1,0,1,1,0,1
A00830579,0,1,0,1,1,0,1
A00831710,1,1,0,1,1,0,1
A00831638,0,1,0,1,1,0,1
A00832717,1,1,0,0,1,1,1
A00833566,0,1,0,1,1,0,1
A01283494,0,1,0,1,1,0,1
A00226956,1,1,0,1,1,0,1
A01245488,1,1,0,1,1,0,1
A01721261,0,1,0,1,1,0,1
A01245648,1,1,0,1,1,0,1
A01704183,1,1,1,1,0,0,1
A01750948,1,1,0,1,0,0,1
A00831608,1,1,0,1,0,0,1
A01384427,1,1,0,1,1,0,1
A00832181,1,1,0,1,1,0,1
A00834577,1,1,1,1,0,0,1
A01735823,1,1,0,1,1,1,1
A00833886,1,1,0,1,1,0,1
A01177868,1,1,0,1,0,0,1
A01275616,1,1,0,1,1,1,1
A01177171,1,1,0,1,1,0,1
A00226979,1,1,0,1,1,1,1
A01233735,1,1,0,1,0,0,1
A01283738,1,1,0,1,1,0,1
A01197684,0,1,0,1,1,0,1
A01655116,1,1,0,1,1,0,1
A01028150,1,1,0,1,1,0,1
A00832201,1,1,0,1,1,0,1
A01253546,0,1,0,1,1,1,1
A00831554,0,1,0,1,1,0,1
A00833835,0,1,0,1,0,0,1
A00833059,1,1,0,1,1,0,1
A00835252,1,1,0,1,1,0,1
A00833580,1,1,0,1,1,0,1
A01277311,1,1,0,1,1,1,1
A01566769,1,1,0,1,1,1,1
A01703388,1,1,0,1,1,1,1
A01703486,1,1,0,1,1,0,1
A00572326,1,1,0,1,1,1,1
A01706749,1,1,0,1,1,0,1
A01708689,1,1,0,1,1,1,1
A01732704,0,1,0,1,0,0,1
A01275657,1,1,0,1,1,1,1
A01705257,1,1,0,1,1,1,1
A01709049,1,1,0,1,0,1,1
A01731650,0,1,0,1,0,0,1
A01610701,1,1,0,1,1,0,1
A01731393,0,1,0,1,1,0,1
A01708242,1,1,0,1,1,0,1
A01735748,1,1,0,1,1,1,1
A01366078,1,1,0,1,1,1,1
A01661428,1,1,0,1,1,1,1
A01709404,1,1,0,1,1,1,1
A01613486,1,1,0,1,1,1,1
A01703834,1,1,0,1,1,1,1
A01732476,0,1,0,1,1,0,1
A01732977,1,1,0,1,1,1,1
A01277328,1,1,0,1,1,1,1
A00572253,1,1,0,1,1,1,1
A01708755,1,1,0,1,1,1,1
A01731244,1,1,0,1,1,1,1
A01351895,1,1,0,1,1,1,1
A01611766,1,1,0,1,1,1,1
A01384388,1,1,0,1,0,0,1
A01736213,1,1,0,1,1,1,1
A00835405,1,1,0,1,1,0,1
A01275850,1,1,0,1,1,1,1
A01424660,1,1,0,1,1,1,1
A01382495,1,1,0,1,1,1,1
A01707799,1,1,0,1,1,1,1
A01705781,1,1,0,1,1,1,1
A01770943,1,1,0,1,1,1,1
A01770059,1,1,0,1,1,0,1
A01254319,1,1,0,1,1,1,1
A01708906,1,1,0,1,1,1,1
A01706636,1,1,0,1,1,1,1
A01173916,1,1,0,1,1,1,1
A01620758,1,1,0,1,1,1,1
A01707478,0,1,0,1,0,0,1
A01275745,1,1,0,1,1,1,1
A01412752,1,1,0,1,1,1,1
A01770940,1,1,0,1,1,1,1
A01708661,1,1,0,1,1,1,1
A00830061,1,1,0,1,1,1,1
A01068319,1,1,0,1,1,1,1
A01612556,1,1,0,1,1,1,1
A01731053,0,1,0,1,1,0,1
A01367175,1,1,0,1,1,0,1
A01709426,1,1,0,1,1,1,1
A01701093,0,1,0,1,1,0,1
A01735724,1,1,0,1,1,0,1
A01656069,1,1,0,1,1,1,1
A01730172,1,1,0,1,1,0,1
A01708046,1,1,0,1,1,1,1
A01423460,1,1,0,0,1,1,1
A01368941,1,1,0,1,1,1,1
A01733303,1,1,0,1,1,1,1
A01252104,0,1,0,1,0,0,1
A01067575,1,1,0,1,1,0,1
A01277253,1,1,0,1,1,1,1
A01368644,1,1,0,1,1,1,1
A01701729,0,1,0,1,1,1,1
A01423219,1,1,0,1,1,0,1
A01706668,1,1,0,1,1,1,1
A01734914,1,1,0,1,1,1,1
A01620753,1,1,0,1,1,1,1
A00572852,1,1,0,1,1,1,1
A01612795,1,1,0,1,1,0,1
A01233923,1,1,0,1,1,1,1
A01368534,1,1,0,1,1,1,1
A01736529,1,1,0,1,1,0,1
A01704847,1,1,0,1,1,1,1
A01736240,1,1,0,1,1,1,1
A01704793,1,1,0,1,1,1,1
A01368878,1,1,0,1,1,1,1
A01705331,1,1,0,1,0,1,1
A00573759,1,1,0,1,1,1,1
A01783328,1,1,0,0,1,1,1
A01566777,1,1,0,1,1,1,1
A01769686,1,1,0,1,1,1,1
A01769223,1,1,0,1,1,1,1
A01708651,1,1,0,1,1,1,1
A01706562,1,1,0,1,1,1,1
A01562775,1,1,0,1,1,1,1
A01236476,1,1,0,1,1,1,1
A01251774,1,1,0,1,1,1,1
A01732772,1,1,0,0,1,1,1
A01704531,1,1,0,1,1,1,1
A01704833,1,1,0,1,1,1,1
A01736023,1,1,0,1,1,0,1
A01732719,1,1,0,1,1,1,1
A01708304,1,1,0,1,1,0,1
A01708159,1,1,0,1,1,0,1
A01253560,1,1,0,1,1,1,1
A01368494,1,1,0,1,1,1,1
A01613184,1,1,0,1,1,1,1
A01733359,1,1,0,1,1,0,1
A01612947,1,1,0,1,1,0,1
A01736236,1,1,0,1,1,1,1
A01704492,1,1,0,1,0,1,1
A01068192,1,1,0,1,1,1,1
A01753227,1,1,0,1,1,1,1
A01277390,1,1,0,1,1,1,1
A01709210,1,1,0,1,1,1,1
A01732440,0,1,0,1,1,0,1
A01568745,1,1,0,1,1,1,1
A01708729,1,1,0,1,1,1,1
A00572214,1,1,0,1,1,1,1
A01747806,1,1,0,1,1,1,1
A01753350,1,1,0,1,1,1,1
A01705343,1,1,0,1,1,0,1
A01733106,1,1,0,1,1,1,1
A01236210,1,1,0,1,1,1,1
A01771170,1,1,0,1,1,1,1
A01709522,1,1,0,1,1,1,1
A01770611,1,1,0,1,1,1,1
A01735757,1,1,0,1,1,0,1
A01702754,1,1,0,1,1,0,1
A01733502,1,1,0,1,1,1,1
